2025-03-25 15:42:19 - Proceso iniciado, ejecutándose cada 60 segundos
2025-03-26 15:09:01,458 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 15:09:06,885 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 15:09:07,102 - INFO - Proceso finalizado.
2025-03-26 15:12:43,375 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 15:12:47,926 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 15:12:49,154 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 15:12:52,863 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 15:12:53,066 - INFO - Proceso finalizado.
2025-03-26 15:37:24,597 - INFO - Conexión exitosa a la primera base de datos.
2025-03-26 15:37:28,810 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-26 15:37:30,144 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-26 15:37:34,881 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-26 15:37:35,093 - INFO - Proceso finalizado.
